County,County Name,Watershed,Income,DSCI,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4,Forest
51029,Buckingham,1,0.111129936,0.148214822,0.320656814,0.451635551,0.41046832,0.419183007,0.486865515,0.383658713,0.33045977,0.392528736,0.740311958
51031,Campbell,0,0.254414051,0.155044742,0.253103448,0.38372427,0.338842975,0.414771242,0.543380429,0.560520607,0.542672414,0.483563218,0.608640976
51033,Caroline,1,0.21368304,0.123942927,0.257931034,0.373607787,0.390388736,0.405065359,0.662271062,0.76109906,0.778304598,0.632528736,0.622195963
51035,Carroll,0,0.192494737,0.144378886,0.32,0.284697622,0.333884298,0.392156863,0.651072737,0.686912509,0.805747126,0.721034483,0.63368988
51036,Charles City,1,0.303285831,0.116829884,0.306962233,0.353247168,0.500061218,0.364379085,0.769544741,0.828922632,0.837212644,0.75770115,0.512239449
51037,Charlotte,0,0.397302137,0.109993905,0.297832512,0.381203128,0.444781145,0.384477124,0.73458922,0.826753435,0.857758621,0.731379311,0.652536221
51041,Chesterfield,1,0.141136691,0.11375515,0.23589491,0.398595819,0.323048669,0.352810458,0.441758242,0.422704266,0.382614943,0.374022989,0.548452525
51043,Clarke,1,0.06692044,0.12019805,0.515041051,0.40239349,0.360361188,0.467875817,0.560544218,0.531742589,0.498706897,0.467816092,0.38947883
51045,Craig,1,0.18379924,0.131102991,0.217339901,0.370735599,0.329445975,0.378660131,0.624803768,0.711062907,0.728017241,0.583448276,0.859874082
51047,Culpepper,1,0.193906576,0.096135038,0.119244663,0.367065582,0.276461586,0.26624183,0.422605965,0.432682574,0.450431035,0.385862069,0.467170739
51051,Dickenson,0,0.296547608,0.167487096,0.251264368,0.343034945,0.336822773,0.394444444,0.647933019,0.721041215,0.719252874,0.58908046,0.847149155
51053,Dinwiddie,0,0.070769935,0.140394833,0.30771757,0.358321366,0.458463422,0.375522876,0.737938252,0.80592914,0.813793103,0.699425287,0.656144042
51057,Essex,1,0.315689996,0.133180334,0.155073892,0.338056486,0.287297215,0.319705882,0.58440607,0.681995662,0.730028736,0.565747127,0.491186667
51059,Fairfax,1,0.446021653,0.151191988,0.216880131,0.380022339,0.304040404,0.373006536,0.574986918,0.623138106,0.629454023,0.532643678,0.352106331
51061,Fauquier,1,0.056850992,0.167550665,0.233793103,0.342332855,0.304254668,0.396601307,0.628571429,0.683586406,0.670833333,0.564367816,0.487013418
51063,Floyd,0,0.32605325,0.12703005,0.260591133,0.362278602,0.371625344,0.405261438,0.64678179,0.736804049,0.80387931,0.666321839,0.656269041
51065,Fluvanna,1,0.590821261,0.127647656,0.181642036,0.347853838,0.308784818,0.338235294,0.533333333,0.645553145,0.719109195,0.543793104,0.730826132
51067,Franklin,0,0.169360598,0.16371699,0.268308703,0.397032073,0.337159474,0.412745098,0.608581894,0.626174982,0.593965517,0.526321839,0.664286277
51069,Frederick,1,0.112919933,0.195996777,0.277931034,0.362438168,0.319406183,0.384281046,0.666771324,0.70296457,0.703304598,0.594022989,0.572242503
51071,Giles,0,0.127048328,0.14911139,0.297832512,0.402265837,0.345087236,0.446078431,0.55855573,0.582646421,0.561350575,0.483103448,0.81192793
51073,Gloucester,1,0.103257237,0.174112746,0.261871921,0.316100207,0.317447199,0.384215686,0.679748823,0.725813449,0.732471264,0.61954023,0.4653355
51075,Goochland,1,0.214033319,0.150504302,0.274975369,0.413626935,0.321732476,0.42375817,0.596860282,0.63340564,0.610632184,0.52,0.653730528
51077,Grayson,0,0.343726611,0.108167764,0.29635468,0.364065741,0.443771044,0.378202614,0.750915751,0.835864064,0.872844828,0.761034483,0.665733924
51079,Greene,1,0.085510961,0.189159803,0.292479475,0.313355673,0.348699112,0.378562092,0.712611198,0.769486623,0.78204023,0.659195402,0.668775808
51081,Greensville,0,0.18227088,0.170831389,0.257011494,0.335918302,0.321885522,0.38748366,0.670957614,0.733477947,0.734626437,0.610574713,0.516607519
51083,Halifax,0,0.180619565,0.117508165,0.309261084,0.382447742,0.486501377,0.370359477,0.751020408,0.832104122,0.847557471,0.737011494,0.636051166
51085,Hanover,1,0.10901039,0.120935017,0.291921182,0.348811233,0.306121824,0.323071895,0.410151753,0.300072306,0.257614943,0.310114943,0.544642736
51087,Henrico,1,0.210936567,0.119591747,0.283743842,0.38062869,0.426752372,0.380980392,0.731763475,0.823427332,0.849568966,0.715172414,0.318828219
51089,Henry,0,0.139132237,0.129904131,0.154876847,0.412222754,0.301499847,0.318660131,0.429618001,0.420535069,0.427729885,0.387701149,0.727755231
51091,Highland,1,0.086542496,0.131841586,0.449064039,0.372171693,0.348178757,0.411993464,0.588801674,0.561966739,0.517097701,0.492413793,0.794607485
51095,James City,1,0.133077415,0.177255933,0.293530378,0.385766715,0.355096419,0.42496732,0.656305599,0.687924801,0.666091954,0.575862069,0.4430049
51097,King and Queen,1,0.15174371,0.126718896,0.264597701,0.372746131,0.309856137,0.374640523,0.487284144,0.502819957,0.474712644,0.41862069,0.598296859
51099,King George,1,0.304252315,0.125693744,0.179671593,0.346322004,0.320048975,0.340196078,0.629408687,0.725958062,0.781178161,0.618735632,0.546012091
51101,King William,1,0.117432813,0.17628594,0.280492611,0.378203287,0.338934803,0.405359477,0.646886447,0.676500362,0.661206897,0.569195402,0.499783049
51103,Lancaster,1,0.255880934,0.126846034,0.236978654,0.39690442,0.314722987,0.369477124,0.531344846,0.556471439,0.525718391,0.459195402,0.505534713
51105,Lee,0,0.505975116,0.119144594,0.276650246,0.376671454,0.410192837,0.395849673,0.693354265,0.787563268,0.810775862,0.669310345,0.657396751
51107,Loundon,1,0.176527735,0.129552919,0.262200328,0.42237115,0.304162841,0.345718954,0.243118786,0.193781634,0.158764368,0.189310345,0.359856246
51109,Louisa,1,0.445955886,0.129697238,0.164039409,0.380373384,0.284970921,0.336633987,0.497121926,0.563557484,0.605172414,0.477241379,0.660843195
51111,Lunenburg,0,0.111345822,0.129113451,0.289162562,0.354587522,0.33415978,0.339901961,0.456410256,0.35010846,0.310488506,0.353448276,0.700998593
51113,Madison,1,0.086586817,0.114938818,0.370935961,0.393649274,0.363973064,0.342222222,0.51711146,0.478235719,0.429454023,0.426206897,0.615654752
51115,Mathews,1,0.131867166,0.118456547,0.362594417,0.415860858,0.354178145,0.358071895,0.411093668,0.293564714,0.254597701,0.315172414,0.224077007
51117,Mecklenburg,0,0.149582703,0.123421353,0.168965517,0.407116643,0.285521886,0.295588235,0.428466771,0.415039769,0.400143678,0.381149425,0.590437331
51119,Middlesex,1,0.288691351,0.145223098,0.257405583,0.366778363,0.358004285,0.384934641,0.685190999,0.761966739,0.770689655,0.640689655,0.492954872
51121,Montgomery,0,0.07032458,0.174464953,0.32453202,0.333109941,0.402387511,0.379019608,0.738356881,0.798843095,0.806896552,0.689655173,0.642345045
51125,Nelson,1,0.222235566,0.142202618,0.1663711,0.394127972,0.299908173,0.334084967,0.53762428,0.604049168,0.641666667,0.504252874,0.793161131
51127,New Kent,1,0.31963814,0.117606277,0.300328407,0.351587682,0.396786042,0.390490196,0.705285191,0.785827911,0.849425287,0.729655173,0.549175275
51131,Northampton,1,0.099350554,0.117188602,0.439573071,0.415892772,0.389929599,0.397124183,0.467713239,0.404627621,0.346264368,0.386091954,0.098323023
51133,Northhumberland,1,0.163194258,0.139113777,0.374745484,0.357938408,0.334863789,0.373529412,0.546624804,0.473752711,0.439942529,0.443678161,0.41461939
51135,Nottoway,1,0.084801824,0.164254569,0.331789819,0.475347056,0.453627181,0.458039216,0.592883307,0.55835141,0.518678161,0.504597701,0.66520823
51137,Orange,1,0.249772497,0.12078699,0.271494253,0.370320728,0.388827671,0.401633987,0.669701727,0.76109906,0.819971264,0.68091954,0.545072064
51139,Page,1,0.180434417,0.130073859,0.221215107,0.367288974,0.352464034,0.404215686,0.638932496,0.73318872,0.769971264,0.626206897,0.674942876
51141,Patrick,0,0.692154823,0.157300766,0.239408867,0.356821446,0.337006428,0.39245098,0.626164312,0.70021692,0.699281609,0.567241379,0.786131747
51143,Pittsylvania,0,0.124176755,0.201307461,0.283087028,0.365023137,0.343801653,0.368137255,0.704029304,0.743167028,0.75316092,0.63954023,0.599538906
51145,Powhatan,1,0.25360841,0.094211961,0.133793103,0.382256263,0.2815427,0.278594771,0.399162742,0.441503977,0.485057471,0.378390805,0.713796904
51147,Prince Edward,1,0.250713961,0.14662442,0.181970443,0.385926281,0.303213958,0.333039216,0.556985871,0.61691974,0.645402299,0.512873563,0.674638856
51153,Prince William,1,0.31271334,0.132170011,0.157142857,0.336907611,0.279461279,0.323562092,0.55133438,0.656109906,0.718965517,0.545747127,0.465111499
51155,Pulaski,0,0.26975913,0.142259767,0.18955665,0.368374023,0.304407713,0.344575163,0.574986918,0.647433116,0.672701149,0.527816092,0.570031797
51157,Rappahannock,1,0.55107818,0.105398034,0.180295566,0.373352481,0.270094888,0.328300654,0.459759288,0.550976139,0.608477012,0.451609196,0.688090059
51159,Richmond,1,0.115022321,0.133900301,0.214975369,0.363810436,0.344199571,0.409738562,0.628362114,0.719305857,0.77112069,0.631149425,0.523395881
51161,Roanoke,0,0.139454637,0.16102593,0.250114943,0.361576512,0.288215488,0.398431373,0.618838305,0.648156182,0.643534483,0.541954023,0.703510374
51163,Rockbridge,1,0.118812483,0.110196549,0.368932676,0.418860699,0.38781757,0.350196078,0.519623234,0.488937093,0.447844828,0.429770115,0.696855282
51165,Rockingham,1,0.340953688,0.133256833,0.247323481,0.376384235,0.347474747,0.400065359,0.641025641,0.726102675,0.734913793,0.596896552,0.587453157
51167,Russell,0,0.393361141,0.101827136,0.152775041,0.385543322,0.277257423,0.301993464,0.427106227,0.489226319,0.53908046,0.412758621,0.613219849
51169,Scott,0,0.097282479,0.125174069,0.383415435,0.380788256,0.365105601,0.371111111,0.511145997,0.437020969,0.393390805,0.413218391,0.734128011
51171,Shenandoah,1,0.324908767,0.109765581,0.242692939,0.419945748,0.291031527,0.323986928,0.384824699,0.37208966,0.339798851,0.319885057,0.617861094
51173,Smyth,1,0.215751116,0.144645279,0.185944171,0.424509335,0.324670952,0.358006536,0.486865515,0.507158351,0.527298851,0.446666667,0.680977518
51175,Southampton,0,0.080736444,0.181835437,0.278784893,0.336205521,0.340036731,0.377647059,0.683621141,0.707013738,0.713218391,0.619655172,0.363974588
51177,Spotsylvania,1,0.070652698,0.176921178,0.258522167,0.334450295,0.325130089,0.395653595,0.654631083,0.687201735,0.683189655,0.582758621,0.611570466
51179,Stafford,1,0.246923085,0.129260573,0.314975369,0.297941599,0.358616468,0.366928105,0.70455259,0.7505423,0.835488506,0.762758621,0.621122146
51181,Surry,1,0.137399429,0.16981347,0.248834154,0.345843306,0.294367922,0.409738562,0.613814757,0.651193059,0.637068966,0.540229885,0.493672673
51183,Sussex,0,0.194327625,0.124732883,0.255270936,0.373001436,0.391153964,0.406078431,0.660177917,0.754736081,0.78362069,0.64091954,0.520844047
51185,Tazewell,0,0.116529236,0.144940518,0.234318555,0.346290091,0.323538414,0.330326797,0.489481947,0.442805495,0.40704023,0.404942529,0.689146976
51193,Westmoreland,1,0.258949092,0.131811655,0.228013136,0.338630924,0.349739822,0.407189542,0.622396651,0.71395517,0.78204023,0.64862069,0.437404071
51195,Wise,0,0.155507422,0.156524192,0.268669951,0.338216052,0.365901439,0.380424837,0.704343276,0.766015908,0.77658046,0.659425287,0.753339998
51197,Wythe,0,0.146350844,0.138239906,0.242364532,0.352576991,0.328374656,0.316045752,0.490214547,0.425307303,0.388793104,0.394942529,0.538870834
51199,York,1,0.181789068,0.134066412,0.197701149,0.352066379,0.339516376,0.402418301,0.615803244,0.712219812,0.778448276,0.631034483,0.426107355
