"value","count","year","county","Crop"
121,73089,2008,51009,"Developed/Open_Space"
122,25327,2008,51009,"Developed/Low_Intensity"
123,3988,2008,51009,"Developed/Med_Intensity"
124,1035,2008,51009,"Developed/High_Intensity"
131,34,2008,51009,"Barren"
141,981551,2008,51009,"Deciduous_Forest"
142,71750,2008,51009,"Evergreen_Forest"
143,6934,2008,51009,"Mixed_Forest"
152,2098,2008,51009,"Shrubland"
176,89467,2008,51009,"Grassland/Pasture"
190,14,2008,51009,"Woody_Wetlands"
225,14,2008,51009,"Dbl_Crop_WinWht/Corn"
229,1,2008,51009,"Pumpkins"
237,25,2008,51009,"Dbl_Crop_Barley/Corn"
254,1,2008,51009,"Dbl_Crop_Barley/Soybeans"
1,3528,2008,51011,"Corn"
4,1,2008,51011,"Sorghum"
5,964,2008,51011,"Soybeans"
21,41,2008,51011,"Barley"
24,2718,2008,51011,"Winter_Wheat"
26,1960,2008,51011,"Dbl_Crop_WinWht/Soybeans"
27,30,2008,51011,"Rye"
28,8,2008,51011,"Oats"
29,4,2008,51011,"Millet"
36,15,2008,51011,"Alfalfa"
37,160864,2008,51011,"Other_Hay/Non_Alfalfa"
59,10,2008,51011,"Sod/Grass_Seed"
61,478,2008,51011,"Fallow/Idle_Cropland"
67,9,2008,51011,"Peaches"
68,18,2008,51011,"Apples"
111,3520,2008,51011,"Open_Water"
121,29145,2008,51011,"Developed/Open_Space"
122,5921,2008,51011,"Developed/Low_Intensity"
123,1168,2008,51011,"Developed/Med_Intensity"
124,328,2008,51011,"Developed/High_Intensity"
131,196,2008,51011,"Barren"
141,531895,2008,51011,"Deciduous_Forest"
142,118925,2008,51011,"Evergreen_Forest"
143,7015,2008,51011,"Mixed_Forest"
152,9456,2008,51011,"Shrubland"
176,84376,2008,51011,"Grassland/Pasture"
190,377,2008,51011,"Woody_Wetlands"
225,52,2008,51011,"Dbl_Crop_WinWht/Corn"
237,13,2008,51011,"Dbl_Crop_Barley/Corn"
1,15,2008,51013,"Corn"
5,9,2008,51013,"Soybeans"
12,1,2008,51013,"Sweet_Corn"
26,1,2008,51013,"Dbl_Crop_WinWht/Soybeans"
47,1,2008,51013,"Misc_Vegs_&_Fruits"
61,22,2008,51013,"Fallow/Idle_Cropland"
111,378,2008,51013,"Open_Water"
121,20661,2008,51013,"Developed/Open_Space"
122,26008,2008,51013,"Developed/Low_Intensity"
123,15194,2008,51013,"Developed/Med_Intensity"
124,5848,2008,51013,"Developed/High_Intensity"
131,2,2008,51013,"Barren"
141,6697,2008,51013,"Deciduous_Forest"
142,52,2008,51013,"Evergreen_Forest"
143,77,2008,51013,"Mixed_Forest"
152,14,2008,51013,"Shrubland"
176,21,2008,51013,"Grassland/Pasture"
190,135,2008,51013,"Woody_Wetlands"
195,20,2008,51013,"Herbaceous_Wetlands"
1,73361,2008,51015,"Corn"
4,63,2008,51015,"Sorghum"
5,8803,2008,51015,"Soybeans"
11,9,2008,51015,"Tobacco"
21,1871,2008,51015,"Barley"
24,9717,2008,51015,"Winter_Wheat"
26,1465,2008,51015,"Dbl_Crop_WinWht/Soybeans"
27,72,2008,51015,"Rye"
28,88,2008,51015,"Oats"
29,63,2008,51015,"Millet"
36,1769,2008,51015,"Alfalfa"
37,254910,2008,51015,"Other_Hay/Non_Alfalfa"
44,39,2008,51015,"Other_Crops"
47,5,2008,51015,"Misc_Vegs_&_Fruits"
59,33,2008,51015,"Sod/Grass_Seed"
61,1566,2008,51015,"Fallow/Idle_Cropland"
67,21,2008,51015,"Peaches"
68,87,2008,51015,"Apples"
70,1,2008,51015,"Christmas_Trees"
111,1747,2008,51015,"Open_Water"
121,165029,2008,51015,"Developed/Open_Space"
122,61781,2008,51015,"Developed/Low_Intensity"
123,8928,2008,51015,"Developed/Med_Intensity"
124,3220,2008,51015,"Developed/High_Intensity"
131,444,2008,51015,"Barren"
141,1506433,2008,51015,"Deciduous_Forest"
142,110227,2008,51015,"Evergreen_Forest"
143,17960,2008,51015,"Mixed_Forest"
152,71,2008,51015,"Shrubland"
176,562087,2008,51015,"Grassland/Pasture"
190,3,2008,51015,"Woody_Wetlands"
195,1,2008,51015,"Herbaceous_Wetlands"
205,1,2008,51015,"Triticale"
225,189,2008,51015,"Dbl_Crop_WinWht/Corn"
226,11,2008,51015,"Dbl_Crop_Oats/Corn"
229,11,2008,51015,"Pumpkins"
236,6,2008,51015,"Dbl_Crop_WinWht/Sorghum"
237,1450,2008,51015,"Dbl_Crop_Barley/Corn"
254,728,2008,51015,"Dbl_Crop_Barley/Soybeans"
1,3403,2008,51017,"Corn"
4,25,2008,51017,"Sorghum"
5,90,2008,51017,"Soybeans"
11,16,2008,51017,"Tobacco"
21,6,2008,51017,"Barley"
24,816,2008,51017,"Winter_Wheat"
26,274,2008,51017,"Dbl_Crop_WinWht/Soybeans"
27,1,2008,51017,"Rye"
28,5,2008,51017,"Oats"
29,8,2008,51017,"Millet"
36,127,2008,51017,"Alfalfa"
37,20880,2008,51017,"Other_Hay/Non_Alfalfa"
44,488,2008,51017,"Other_Crops"
61,602,2008,51017,"Fallow/Idle_Cropland"
68,9,2008,51017,"Apples"
70,2,2008,51017,"Christmas_Trees"
111,9565,2008,51017,"Open_Water"
121,49499,2008,51017,"Developed/Open_Space"
122,3718,2008,51017,"Developed/Low_Intensity"
123,882,2008,51017,"Developed/Med_Intensity"
124,180,2008,51017,"Developed/High_Intensity"
131,177,2008,51017,"Barren"
141,1326296,2008,51017,"Deciduous_Forest"
142,59091,2008,51017,"Evergreen_Forest"
143,2987,2008,51017,"Mixed_Forest"
152,4,2008,51017,"Shrubland"
176,59167,2008,51017,"Grassland/Pasture"
225,3,2008,51017,"Dbl_Crop_WinWht/Corn"
226,2,2008,51017,"Dbl_Crop_Oats/Corn"
229,4,2008,51017,"Pumpkins"
236,1,2008,51017,"Dbl_Crop_WinWht/Sorghum"
237,23,2008,51017,"Dbl_Crop_Barley/Corn"
243,2,2008,51017,"Cabbage"
254,2,2008,51017,"Dbl_Crop_Barley/Soybeans"
1,9491,2008,51019,"Corn"
4,168,2008,51019,"Sorghum"
5,182,2008,51019,"Soybeans"
11,1,2008,51019,"Tobacco"
21,270,2008,51019,"Barley"
24,2235,2008,51019,"Winter_Wheat"
26,921,2008,51019,"Dbl_Crop_WinWht/Soybeans"
27,210,2008,51019,"Rye"
28,401,2008,51019,"Oats"
29,69,2008,51019,"Millet"
36,372,2008,51019,"Alfalfa"
37,322104,2008,51019,"Other_Hay/Non_Alfalfa"
44,3,2008,51019,"Other_Crops"
59,3,2008,51019,"Sod/Grass_Seed"
61,1574,2008,51019,"Fallow/Idle_Cropland"
67,319,2008,51019,"Peaches"
68,64,2008,51019,"Apples"
69,2,2008,51019,"Grapes"
111,43173,2008,51019,"Open_Water"
121,107432,2008,51019,"Developed/Open_Space"
122,50995,2008,51019,"Developed/Low_Intensity"
123,4562,2008,51019,"Developed/Med_Intensity"
124,1333,2008,51019,"Developed/High_Intensity"
131,94,2008,51019,"Barren"
141,1280871,2008,51019,"Deciduous_Forest"
142,92076,2008,51019,"Evergreen_Forest"
143,8245,2008,51019,"Mixed_Forest"
152,1483,2008,51019,"Shrubland"
176,284188,2008,51019,"Grassland/Pasture"
190,14,2008,51019,"Woody_Wetlands"
195,1,2008,51019,"Herbaceous_Wetlands"
225,67,2008,51019,"Dbl_Crop_WinWht/Corn"
226,158,2008,51019,"Dbl_Crop_Oats/Corn"
236,32,2008,51019,"Dbl_Crop_WinWht/Sorghum"
237,422,2008,51019,"Dbl_Crop_Barley/Corn"
254,38,2008,51019,"Dbl_Crop_Barley/Soybeans"
1,1225,2008,51021,"Corn"
4,2,2008,51021,"Sorghum"
5,13,2008,51021,"Soybeans"
36,278,2008,51021,"Alfalfa"
37,24726,2008,51021,"Other_Hay/Non_Alfalfa"
47,16,2008,51021,"Misc_Vegs_&_Fruits"
59,1,2008,51021,"Sod/Grass_Seed"
70,65,2008,51021,"Christmas_Trees"
111,102,2008,51021,"Open_Water"
121,10298,2008,51021,"Developed/Open_Space"
122,1127,2008,51021,"Developed/Low_Intensity"
123,315,2008,51021,"Developed/Med_Intensity"
124,24,2008,51021,"Developed/High_Intensity"
131,248,2008,51021,"Barren"
141,220685,2008,51021,"Deciduous_Forest"
142,5107,2008,51021,"Evergreen_Forest"
143,2184,2008,51021,"Mixed_Forest"
152,486,2008,51021,"Shrubland"
176,29404,2008,51021,"Grassland/Pasture"
190,2,2008,51021,"Woody_Wetlands"
1,12355,2008,51023,"Corn"
4,88,2008,51023,"Sorghum"
5,738,2008,51023,"Soybeans"
11,32,2008,51023,"Tobacco"
21,47,2008,51023,"Barley"
24,610,2008,51023,"Winter_Wheat"
25,3,2008,51023,"Other_Small_Grains"
26,847,2008,51023,"Dbl_Crop_WinWht/Soybeans"
27,106,2008,51023,"Rye"
28,14,2008,51023,"Oats"
29,233,2008,51023,"Millet"
36,3567,2008,51023,"Alfalfa"
37,114751,2008,51023,"Other_Hay/Non_Alfalfa"
44,6,2008,51023,"Other_Crops"
59,3,2008,51023,"Sod/Grass_Seed"
61,1629,2008,51023,"Fallow/Idle_Cropland"
68,241,2008,51023,"Apples"
111,8224,2008,51023,"Open_Water"
121,82172,2008,51023,"Developed/Open_Space"
122,31729,2008,51023,"Developed/Low_Intensity"
123,4796,2008,51023,"Developed/Med_Intensity"
124,1535,2008,51023,"Developed/High_Intensity"
131,82,2008,51023,"Barren"
141,1108783,2008,51023,"Deciduous_Forest"
142,64262,2008,51023,"Evergreen_Forest"
143,2798,2008,51023,"Mixed_Forest"
152,65,2008,51023,"Shrubland"
176,130825,2008,51023,"Grassland/Pasture"
190,6,2008,51023,"Woody_Wetlands"
195,2,2008,51023,"Herbaceous_Wetlands"
225,81,2008,51023,"Dbl_Crop_WinWht/Corn"
226,1,2008,51023,"Dbl_Crop_Oats/Corn"
236,3,2008,51023,"Dbl_Crop_WinWht/Sorghum"
237,186,2008,51023,"Dbl_Crop_Barley/Corn"
254,241,2008,51023,"Dbl_Crop_Barley/Soybeans"
1,5755,2008,51025,"Corn"
2,452,2008,51025,"Cotton"
4,469,2008,51025,"Sorghum"
5,33035,2008,51025,"Soybeans"
10,61,2008,51025,"Peanuts"
11,127,2008,51025,"Tobacco"
21,75,2008,51025,"Barley"
24,266,2008,51025,"Winter_Wheat"
26,7136,2008,51025,"Dbl_Crop_WinWht/Soybeans"
27,130,2008,51025,"Rye"
28,84,2008,51025,"Oats"
29,57,2008,51025,"Millet"
36,22,2008,51025,"Alfalfa"
37,46045,2008,51025,"Other_Hay/Non_Alfalfa"
44,3,2008,51025,"Other_Crops"
46,19,2008,51025,"Sweet_Potatoes"
59,23,2008,51025,"Sod/Grass_Seed"
61,4995,2008,51025,"Fallow/Idle_Cropland"
111,9838,2008,51025,"Open_Water"
121,71051,2008,51025,"Developed/Open_Space"
122,13426,2008,51025,"Developed/Low_Intensity"
123,1227,2008,51025,"Developed/Med_Intensity"
124,203,2008,51025,"Developed/High_Intensity"
131,120,2008,51025,"Barren"
141,628062,2008,51025,"Deciduous_Forest"
142,604663,2008,51025,"Evergreen_Forest"
143,5361,2008,51025,"Mixed_Forest"
152,25642,2008,51025,"Shrubland"
176,171084,2008,51025,"Grassland/Pasture"
190,8750,2008,51025,"Woody_Wetlands"
195,99,2008,51025,"Herbaceous_Wetlands"
225,7,2008,51025,"Dbl_Crop_WinWht/Corn"
226,10,2008,51025,"Dbl_Crop_Oats/Corn"
236,55,2008,51025,"Dbl_Crop_WinWht/Sorghum"
237,64,2008,51025,"Dbl_Crop_Barley/Corn"
240,79,2008,51025,"Dbl_Crop_Soybeans/Oats"
254,88,2008,51025,"Dbl_Crop_Barley/Soybeans"
1,7,2008,51027,"Corn"
5,1,2008,51027,"Soybeans"
36,2,2008,51027,"Alfalfa"
37,2832,2008,51027,"Other_Hay/Non_Alfalfa"
61,7,2008,51027,"Fallow/Idle_Cropland"
111,574,2008,51027,"Open_Water"
121,63378,2008,51027,"Developed/Open_Space"
122,23085,2008,51027,"Developed/Low_Intensity"
123,8178,2008,51027,"Developed/Med_Intensity"
124,522,2008,51027,"Developed/High_Intensity"
131,14907,2008,51027,"Barren"
141,1249333,2008,51027,"Deciduous_Forest"
142,62,2008,51027,"Evergreen_Forest"
143,178,2008,51027,"Mixed_Forest"
152,32,2008,51027,"Shrubland"
176,86926,2008,51027,"Grassland/Pasture"
221,1,2008,51027,"Strawberries"
1,5642,2008,51029,"Corn"
4,42,2008,51029,"Sorghum"
5,1500,2008,51029,"Soybeans"
11,16,2008,51029,"Tobacco"
21,31,2008,51029,"Barley"
24,1558,2008,51029,"Winter_Wheat"
26,898,2008,51029,"Dbl_Crop_WinWht/Soybeans"
27,31,2008,51029,"Rye"
28,31,2008,51029,"Oats"
29,32,2008,51029,"Millet"
36,21,2008,51029,"Alfalfa"
37,125734,2008,51029,"Other_Hay/Non_Alfalfa"
44,8,2008,51029,"Other_Crops"
59,7,2008,51029,"Sod/Grass_Seed"
61,873,2008,51029,"Fallow/Idle_Cropland"
67,1,2008,51029,"Peaches"
68,8,2008,51029,"Apples"
69,1,2008,51029,"Grapes"
111,10592,2008,51029,"Open_Water"
121,43904,2008,51029,"Developed/Open_Space"
122,5192,2008,51029,"Developed/Low_Intensity"
123,851,2008,51029,"Developed/Med_Intensity"
124,120,2008,51029,"Developed/High_Intensity"
131,440,2008,51029,"Barren"
141,986408,2008,51029,"Deciduous_Forest"
142,298064,2008,51029,"Evergreen_Forest"
143,14063,2008,51029,"Mixed_Forest"
152,24614,2008,51029,"Shrubland"
176,154047,2008,51029,"Grassland/Pasture"
190,4429,2008,51029,"Woody_Wetlands"
195,183,2008,51029,"Herbaceous_Wetlands"
209,2,2008,51029,"Cantaloupes"
225,13,2008,51029,"Dbl_Crop_WinWht/Corn"
237,26,2008,51029,"Dbl_Crop_Barley/Corn"
254,12,2008,51029,"Dbl_Crop_Barley/Soybeans"
1,6339,2008,51031,"Corn"
4,6,2008,51031,"Sorghum"
5,2366,2008,51031,"Soybeans"
11,7,2008,51031,"Tobacco"
21,55,2008,51031,"Barley"
24,1685,2008,51031,"Winter_Wheat"
26,3856,2008,51031,"Dbl_Crop_WinWht/Soybeans"
27,50,2008,51031,"Rye"
28,41,2008,51031,"Oats"
29,16,2008,51031,"Millet"
36,54,2008,51031,"Alfalfa"
37,242790,2008,51031,"Other_Hay/Non_Alfalfa"
58,1,2008,51031,"Clover/Wildflowers"
59,277,2008,51031,"Sod/Grass_Seed"
61,1540,2008,51031,"Fallow/Idle_Cropland"
67,8,2008,51031,"Peaches"
68,13,2008,51031,"Apples"
111,8823,2008,51031,"Open_Water"
121,66855,2008,51031,"Developed/Open_Space"
122,26552,2008,51031,"Developed/Low_Intensity"
123,6621,2008,51031,"Developed/Med_Intensity"
124,2330,2008,51031,"Developed/High_Intensity"
131,293,2008,51031,"Barren"
141,734762,2008,51031,"Deciduous_Forest"
142,167312,2008,51031,"Evergreen_Forest"
143,9185,2008,51031,"Mixed_Forest"
152,9070,2008,51031,"Shrubland"
176,167775,2008,51031,"Grassland/Pasture"
190,636,2008,51031,"Woody_Wetlands"
195,2,2008,51031,"Herbaceous_Wetlands"
209,1,2008,51031,"Cantaloupes"
225,139,2008,51031,"Dbl_Crop_WinWht/Corn"
226,4,2008,51031,"Dbl_Crop_Oats/Corn"
229,1,2008,51031,"Pumpkins"
236,2,2008,51031,"Dbl_Crop_WinWht/Sorghum"
237,244,2008,51031,"Dbl_Crop_Barley/Corn"
254,6,2008,51031,"Dbl_Crop_Barley/Soybeans"
1,70263,2008,51033,"Corn"
2,92,2008,51033,"Cotton"
4,2,2008,51033,"Sorghum"
5,78282,2008,51033,"Soybeans"
10,4,2008,51033,"Peanuts"
12,278,2008,51033,"Sweet_Corn"
21,9,2008,51033,"Barley"
24,295,2008,51033,"Winter_Wheat"
26,39347,2008,51033,"Dbl_Crop_WinWht/Soybeans"
28,2,2008,51033,"Oats"
29,29,2008,51033,"Millet"
36,171,2008,51033,"Alfalfa"
37,25419,2008,51033,"Other_Hay/Non_Alfalfa"
42,4,2008,51033,"Dry_Beans"
44,34,2008,51033,"Other_Crops"
47,2,2008,51033,"Misc_Vegs_&_Fruits"
59,23,2008,51033,"Sod/Grass_Seed"
61,2251,2008,51033,"Fallow/Idle_Cropland"
69,117,2008,51033,"Grapes"
70,1,2008,51033,"Christmas_Trees"
111,19922,2008,51033,"Open_Water"
121,84443,2008,51033,"Developed/Open_Space"
122,13637,2008,51033,"Developed/Low_Intensity"
123,3327,2008,51033,"Developed/Med_Intensity"
124,598,2008,51033,"Developed/High_Intensity"
131,685,2008,51033,"Barren"
141,666224,2008,51033,"Deciduous_Forest"
142,250603,2008,51033,"Evergreen_Forest"
143,20903,2008,51033,"Mixed_Forest"
152,120456,2008,51033,"Shrubland"
176,22166,2008,51033,"Grassland/Pasture"
190,123624,2008,51033,"Woody_Wetlands"
195,1025,2008,51033,"Herbaceous_Wetlands"
219,6,2008,51033,"Greens"
229,4,2008,51033,"Pumpkins"
237,182,2008,51033,"Dbl_Crop_Barley/Corn"
240,3,2008,51033,"Dbl_Crop_Soybeans/Oats"
254,6465,2008,51033,"Dbl_Crop_Barley/Soybeans"
1,10335,2008,51035,"Corn"
4,5,2008,51035,"Sorghum"
5,215,2008,51035,"Soybeans"
12,9,2008,51035,"Sweet_Corn"
21,3,2008,51035,"Barley"
24,3,2008,51035,"Winter_Wheat"
26,70,2008,51035,"Dbl_Crop_WinWht/Soybeans"
27,68,2008,51035,"Rye"
29,28,2008,51035,"Millet"
36,751,2008,51035,"Alfalfa"
37,85177,2008,51035,"Other_Hay/Non_Alfalfa"
44,16,2008,51035,"Other_Crops"
47,219,2008,51035,"Misc_Vegs_&_Fruits"
61,93,2008,51035,"Fallow/Idle_Cropland"
67,1,2008,51035,"Peaches"
68,17,2008,51035,"Apples"
70,1232,2008,51035,"Christmas_Trees"
111,3704,2008,51035,"Open_Water"
121,90131,2008,51035,"Developed/Open_Space"
122,8448,2008,51035,"Developed/Low_Intensity"
123,2144,2008,51035,"Developed/Med_Intensity"
124,691,2008,51035,"Developed/High_Intensity"
131,41,2008,51035,"Barren"
141,822307,2008,51035,"Deciduous_Forest"
142,27714,2008,51035,"Evergreen_Forest"
143,934,2008,51035,"Mixed_Forest"
152,275,2008,51035,"Shrubland"
176,319855,2008,51035,"Grassland/Pasture"
190,4,2008,51035,"Woody_Wetlands"
225,1,2008,51035,"Dbl_Crop_WinWht/Corn"
229,85,2008,51035,"Pumpkins"
243,19,2008,51035,"Cabbage"
1,9281,2008,51037,"Corn"
4,90,2008,51037,"Sorghum"
5,6067,2008,51037,"Soybeans"
11,480,2008,51037,"Tobacco"
21,103,2008,51037,"Barley"
24,2005,2008,51037,"Winter_Wheat"
25,1,2008,51037,"Other_Small_Grains"
26,2565,2008,51037,"Dbl_Crop_WinWht/Soybeans"
27,27,2008,51037,"Rye"
28,239,2008,51037,"Oats"
29,29,2008,51037,"Millet"
36,35,2008,51037,"Alfalfa"
37,150645,2008,51037,"Other_Hay/Non_Alfalfa"
58,1,2008,51037,"Clover/Wildflowers"
59,49,2008,51037,"Sod/Grass_Seed"
61,2409,2008,51037,"Fallow/Idle_Cropland"
67,1,2008,51037,"Peaches"
68,14,2008,51037,"Apples"
111,6834,2008,51037,"Open_Water"
121,38694,2008,51037,"Developed/Open_Space"
122,4918,2008,51037,"Developed/Low_Intensity"
123,668,2008,51037,"Developed/Med_Intensity"
124,173,2008,51037,"Developed/High_Intensity"
131,1769,2008,51037,"Barren"
141,711564,2008,51037,"Deciduous_Forest"
142,198872,2008,51037,"Evergreen_Forest"
143,12131,2008,51037,"Mixed_Forest"
152,18654,2008,51037,"Shrubland"
176,178716,2008,51037,"Grassland/Pasture"
190,26817,2008,51037,"Woody_Wetlands"
195,129,2008,51037,"Herbaceous_Wetlands"
225,20,2008,51037,"Dbl_Crop_WinWht/Corn"
226,13,2008,51037,"Dbl_Crop_Oats/Corn"
229,4,2008,51037,"Pumpkins"
236,9,2008,51037,"Dbl_Crop_WinWht/Sorghum"
237,40,2008,51037,"Dbl_Crop_Barley/Corn"
240,6,2008,51037,"Dbl_Crop_Soybeans/Oats"
254,19,2008,51037,"Dbl_Crop_Barley/Soybeans"
1,30605,2008,51036,"Corn"
2,1668,2008,51036,"Cotton"
5,26328,2008,51036,"Soybeans"
6,14,2008,51036,"Sunflower"
10,35,2008,51036,"Peanuts"
12,3,2008,51036,"Sweet_Corn"
24,72,2008,51036,"Winter_Wheat"
26,27211,2008,51036,"Dbl_Crop_WinWht/Soybeans"
27,1,2008,51036,"Rye"
28,3,2008,51036,"Oats"
29,4,2008,51036,"Millet"
36,127,2008,51036,"Alfalfa"
37,3854,2008,51036,"Other_Hay/Non_Alfalfa"
42,11,2008,51036,"Dry_Beans"
43,10,2008,51036,"Potatoes"
44,4,2008,51036,"Other_Crops"
54,1,2008,51036,"Tomatoes"
58,3,2008,51036,"Clover/Wildflowers"
59,706,2008,51036,"Sod/Grass_Seed"
61,767,2008,51036,"Fallow/Idle_Cropland"
69,1,2008,51036,"Grapes"
